date, symbol, reportedCurrency, cik, fillingDate, acceptedDate, calendarYear, period, revenue, costOfRevenue, grossProfit, grossProfitRatio, researchAndDevelopmentExpenses, generalAndAdministrativeExpenses, sellingAndMarketingExpenses, sellingGeneralAndAdministrativeExpenses, otherExpenses, operatingExpenses, costAndExpenses, interestIncome, interestExpense, depreciationAndAmortization, ebitda, ebitdaratio, operatingIncome, operatingIncomeRatio, totalOtherIncomeExpensesNet, incomeBeforeTax, incomeBeforeTaxRatio, incomeTaxExpense, netIncome, netIncomeRatio, eps, epsdiluted, weightedAverageShsOut, weightedAverageShsOutDil, link, finalLink, lastRetainedEarnings, stockRepurchases, dividendsPaid, otherDistributions, retainedEarnings, grossPPE, annualDepreciation, capitalExpenditure, netPPE, lastGoodwill, acquisitionsAndAdjustments, goodwill
"2023-12-31","RDDT","USD","0001713445","2023-12-31","2023-12-30 19:00:00","2023","FY","804029000","111011000","693018000","0.861931597","438346000","164658000","230175000","394833000","53138000","780041000","891052000","0","0","13702000","-126459000","-0.1572816403","-140161000","-0.1743233142","53138000","-87023000","-0.1082336582","3801000","18534000","-0.1129610997","-1.54","-1.54","59138101","59138086","null","null","-735096000","-91000","0","18443000","-716562000","38954000","3755000","-4602000","39801000","26299000","0","26299000",
"2022-12-31","RDDT","USD","0001713445","2022-12-31","2022-12-30 19:00:00","2022","FY","666701000","104799000","561902000","0.8428095953","365164000","143822000","225078000","368900000","14234000","719830000","824629000","0","0","8000000","-164162000","-0.2462303191","-172162000","-0.2582297012","14234000","-157928000","-0.2368798007","622000","-158550000","-0.2378127526","-2.77","-2.77","57251122","57251112","null","null",
"2021-12-31","RDDT","USD","0001713445","2021-12-31","2021-12-30 19:00:00","2021","FY","484916000","72565000","412351000","0.8503555255","257274999","144722000","137867000","282589000","-343000","539907000","612472000","0","0","2813000","-124400000","-0.2565392769","-127213000","-0.2623402816","-343000","-127556000","-0.2630476206","340000","-127896000","-0.263748773","-2.47","-2.47","51693322","51693315","null","null",
"2020-12-31","RDDT","USD","0001713445","2020-12-31","2020-12-30 19:00:00","2020","FY","228908000","55026000","173882000","0.7596152166","117526000","43517000","75396000","118913000","3486000","232953000","287979000","0","0","1934000","-60623000","-0.2648356545","-62557000","-0.2732844636","3486000","-59071000","-0.2580556381","102000","-59173000","-0.2585012319","-1.23","-1.23","48257610","48257578","null","null",
